Departamentos;Muestras Claro;Muestras Personal;Muestras Movistar;THP Claro;THP Personal;THP Movistar;Latencia Claro;Latencia Mejor;Intensidad Claro;Intensidad Mejor;Tiempo IyV Claro;Tiempo IyV Mejor;Departamento;Provincia;Periodo
Lincoln, BUENOS AIRES;5,890,000;1,170,000;1,040,000;15.26;15.18;15.89;58;54;-99;-99;54;49;Lincoln;BUENOS AIRES;07/2024
Deseado, SANTA CRUZ;19,300,000;1,020,000;10,500,000;9.61;16.72;11.60;88;75;-99;-97;87;69;Deseado;SANTA CRUZ;07/2024
Bella Vista, CORRIENTES;908,000;3,900,000;7,280;15.22;12.42;13.30;72;65;-99;-99;68;65;Bella Vista;CORRIENTES;07/2024
Curacó, LA PAMPA;74,200;177;548;1.26;--;10.80;1,179;61;-94;-94;1,112;66;Curacó;LA PAMPA;07/2024
Saladas, CORRIENTES;1,130,000;4,000,000;20,700;13.76;7.50;14.95;66;66;-100;-100;64;61;Saladas;CORRIENTES;07/2024
Carmen de Areco, BUENOS AIRES;1,210,000;833,000;1,740,000;11.55;18.68;10.40;73;48;-97;-97;72;44;Carmen de Areco;BUENOS AIRES;07/2024
Gaiman, CHUBUT;1,690,000;36,800;272,000;12.23;16.13;14.07;77;70;-104;-100;73;67;Gaiman;CHUBUT;07/2024
Famatina, LA RIOJA;13,400;700,000;880;2.36;18.23;11.86;641;61;-94;-94;721;55;Famatina;LA RIOJA;07/2024
Villarino, BUENOS AIRES;2,590,000;1,220,000;2,360,000;14.45;18.70;15.57;61;58;-100;-98;57;53;Villarino;BUENOS AIRES;07/2024
Vicente López, BUENOS AIRES;14,900,000;19,400,000;20,500,000;15.05;19.88;15.48;50;44;-95;-95;48;41;Vicente López;BUENOS AIRES;07/2024
Magdalena, BUENOS AIRES;1,130,000;632,000;1,540,000;17.10;11.53;11.64;55;55;-99;-99;51;51;Magdalena;BUENOS AIRES;07/2024
San Martín, CORRIENTES;1,180,000;2,320,000;1,880;13.38;7.47;4.51;72;72;-99;-99;70;70;San Martín;CORRIENTES;07/2024
Necochea, BUENOS AIRES;7,830,000;2,690,000;4,720,000;14.51;17.84;13.37;68;58;-99;-99;64;53;Necochea;BUENOS AIRES;07/2024
Rosario, SANTA FE;95,500,000;106,000,000;45,000,000;14.24;14.03;15.66;55;51;-98;-98;54;50;Rosario;SANTA FE;07/2024
Paraná, ENTRE RÍOS;16,700,000;44,200,000;5,620,000;12.19;11.95;14.01;65;58;-100;-99;66;57;Paraná;ENTRE RÍOS;07/2024
Feliciano, ENTRE RÍOS;864,000;601,000;2,560;12.79;18.25;13.42;77;43;-102;-91;76;42;Feliciano;ENTRE RÍOS;07/2024
Bragado, BUENOS AIRES;4,420,000;542,000;875,000;11.98;20.42;14.36;75;47;-96;-96;72;42;Bragado;BUENOS AIRES;07/2024
Esteban Echeverría, BUENOS AIRES;14,800,000;17,800,000;24,200,000;16.51;17.28;11.09;51;48;-99;-99;47;46;Esteban Echeverría;BUENOS AIRES;07/2024
Telsen, CHUBUT;89,000;--;--;1.19;--;--;1,173;1,173;-95;-95;1,099;1,099;Telsen;CHUBUT;07/2024
Guachipas, SALTA;36,800;753,000;999;16.34;10.08;10.85;71;64;-92;-92;64;58;Guachipas;SALTA;07/2024
Santa Catalina, JUJUY;--;130;--;--;--;--;--;--;--;--;--;--;Santa Catalina;JUJUY;07/2024
Ojo de Agua, SANTIAGO DEL ESTERO;179,000;5,560,000;7,790;17.14;4.04;3.09;53;53;-95;-95;47;47;Ojo de Agua;SANTIAGO DEL ESTERO;07/2024
General Paz, BUENOS AIRES;1,250,000;273,000;813,000;15.14;17.28;6.26;58;46;-99;-94;55;40;General Paz;BUENOS AIRES;07/2024
Santa Victoria, SALTA;89,500;58,400;--;0.97;0.50;--;1,411;1,411;-102;-102;1,272;1,272;Santa Victoria;SALTA;07/2024
Independencia, CHACO;438,000;2,340,000;13,300;13.75;10.74;16.55;70;61;-100;-92;66;56;Independencia;CHACO;07/2024
Rancul, LA PAMPA;1,130,000;106,000;450,000;17.40;15.51;12.68;58;58;-96;-92;54;54;Rancul;LA PAMPA;07/2024
Rivadavia, SAN JUAN;3,470,000;2,630,000;5,490,000;17.05;19.15;13.63;62;60;-99;-96;58;56;Rivadavia;SAN JUAN;07/2024
Rauch, BUENOS AIRES;2,010,000;236,000;800,000;11.04;21.14;11.73;98;54;-98;-98;94;49;Rauch;BUENOS AIRES;07/2024
Maipú, BUENOS AIRES;1,310,000;435,000;729,000;14.35;22.17;13.51;66;50;-98;-96;62;44;Maipú;BUENOS AIRES;07/2024
San Javier, MISIONES;34,100;2,290,000;16,600;10.05;9.61;1.32;92;80;-102;-100;88;80;San Javier;MISIONES;07/2024
Carlos Casares, BUENOS AIRES;1,890,000;610,000;808,000;13.41;14.02;8.79;62;56;-103;-103;60;53;Carlos Casares;BUENOS AIRES;07/2024
Pocito, SAN JUAN;2,110,000;1,900,000;3,780,000;15.67;15.10;10.97;67;65;-102;-99;62;62;Pocito;SAN JUAN;07/2024
Pilcaniyeu, RÍO NEGRO;370,000;221,000;800,000;10.76;14.41;9.88;90;69;-96;-96;87;67;Pilcaniyeu;RÍO NEGRO;07/2024
Valcheta, RÍO NEGRO;62,900;746;265,000;1.46;11.77;12.86;935;74;-92;-92;911;69;Valcheta;RÍO NEGRO;07/2024
Lago Buenos Aires, SANTA CRUZ;2,080,000;13,400;848,000;13.20;3.43;11.36;81;81;-96;-90;75;75;Lago Buenos Aires;SANTA CRUZ;07/2024
Juárez Celman, CÓRDOBA;11,500,000;4,860,000;186,000;15.52;20.50;15.55;59;52;-98;-98;55;48;Juárez Celman;CÓRDOBA;07/2024
General Alvarado, BUENOS AIRES;3,970,000;922,000;2,760,000;14.70;20.95;16.11;64;51;-100;-100;60;46;General Alvarado;BUENOS AIRES;07/2024
Rinconada, JUJUY;--;235,000;--;--;11.58;--;--;--;--;--;--;--;Rinconada;JUJUY;07/2024
Jáchal, SAN JUAN;401,000;88,700;2,210,000;16.22;13.50;11.50;61;61;-98;-93;56;56;Jáchal;SAN JUAN;07/2024
Adolfo Alsina, RÍO NEGRO;2,630,000;1,410,000;8,790,000;14.41;15.05;12.14;63;55;-97;-97;59;51;Adolfo Alsina;RÍO NEGRO;07/2024
General Lamadrid, BUENOS AIRES;924,000;2,510;232,000;13.17;13.25;14.67;65;65;-101;-92;62;61;General Lamadrid;BUENOS AIRES;07/2024
Berón de Astrada, CORRIENTES;413,000;320,000;812;12.47;13.02;11.65;71;70;-101;-101;67;67;Berón de Astrada;CORRIENTES;07/2024
Santa Rosa, MENDOZA;1,510,000;845,000;17,600;11.50;15.90;11.07;78;70;-104;-101;76;64;Santa Rosa;MENDOZA;07/2024
Chacabuco, CHACO;525,000;5,020,000;3,040;15.90;11.60;16.98;68;63;-99;-97;64;61;Chacabuco;CHACO;07/2024
Angaco, SAN JUAN;361,000;136,000;93,300;16.28;6.37;11.01;66;66;-99;-99;61;61;Angaco;SAN JUAN;07/2024
Santa María, CÓRDOBA;18,600,000;20,200,000;2,090,000;13.73;16.66;11.48;61;52;-100;-96;60;52;Santa María;CÓRDOBA;07/2024
Salavina, SANTIAGO DEL ESTERO;2,950;1,870,000;712;10.45;14.25;17.24;76;46;-88;-88;81;47;Salavina;SANTIAGO DEL ESTERO;07/2024
Patagones, BUENOS AIRES;2,130,000;471,000;3,020,000;16.14;19.05;12.76;62;52;-99;-99;57;49;Patagones;BUENOS AIRES;07/2024
Pocho, CÓRDOBA;41,700;1,040,000;798;15.51;16.15;12.32;55;54;-100;-95;54;52;Pocho;CÓRDOBA;07/2024
Ayacucho, BUENOS AIRES;2,090,000;414,000;874,000;12.91;16.72;12.18;72;61;-100;-97;70;57;Ayacucho;BUENOS AIRES;07/2024
General Belgrano, CHACO;135,000;1,180,000;5,850;13.32;14.12;15.18;72;59;-104;-98;67;60;General Belgrano;CHACO;07/2024
Silípica, SANTIAGO DEL ESTERO;107,000;604,000;2,480;14.96;13.81;7.43;62;62;-102;-94;56;56;Silípica;SANTIAGO DEL ESTERO;07/2024
General San Martín, BUENOS AIRES;21,400,000;32,200,000;30,700,000;15.07;17.23;12.84;51;47;-99;-97;49;45;General San Martín;BUENOS AIRES;07/2024
Guaminí, BUENOS AIRES;1,430,000;240,000;975,000;16.98;17.81;15.20;59;58;-99;-95;54;53;Guaminí;BUENOS AIRES;07/2024
Maracó, LA PAMPA;6,180,000;591,000;4,810,000;15.86;17.61;14.04;60;57;-98;-98;57;52;Maracó;LA PAMPA;07/2024
