Departamentos;Muestras Claro;Muestras Personal;Muestras Movistar;THP Claro;THP Personal;THP Movistar;Latencia Claro;Latencia Mejor;Intensidad Claro;Intensidad Mejor;Tiempo IyV Claro;Tiempo IyV Mejor;Departamento;Provincia;Periodo
Monte, BUENOS AIRES;981,000;644,000;1,880,000;11.56;15.85;4.37;67;58;-103;-101;64;51;Monte;BUENOS AIRES;01/2024
Mitre, SANTIAGO DEL ESTERO;--;107,000;--;--;18.28;--;--;--;--;--;--;--;Mitre;SANTIAGO DEL ESTERO;01/2024
Ituzaingó, CORRIENTES;3,280,000;3,790,000;30,300;7.16;7.19;12.53;101;77;-102;-101;105;71;Ituzaingó;CORRIENTES;01/2024
General Lavalle, BUENOS AIRES;188,000;177,000;608,000;13.79;19.72;12.29;75;54;-102;-99;68;46;General Lavalle;BUENOS AIRES;01/2024
Valle Viejo, CATAMARCA;1,390,000;1,610,000;133,000;12.97;13.84;10.38;76;67;-101;-101;69;62;Valle Viejo;CATAMARCA;01/2024
Tordillo, BUENOS AIRES;134,000;231,000;289,000;14.65;16.44;9.64;64;55;-101;-99;57;47;Tordillo;BUENOS AIRES;01/2024
Totoral, CÓRDOBA;1,130,000;1,880,000;24,700;12.89;13.25;10.37;66;66;-102;-101;61;61;Totoral;CÓRDOBA;01/2024
Coronel Suárez, BUENOS AIRES;813,000;743,000;1,680,000;16.43;19.28;9.25;62;58;-101;-100;53;50;Coronel Suárez;BUENOS AIRES;01/2024
Chilecito, LA RIOJA;425,000;5,330,000;12,600;11.96;13.81;11.26;94;67;-99;-98;84;61;Chilecito;LA RIOJA;01/2024
Tupungato, MENDOZA;2,910,000;429,000;1,310,000;7.50;13.11;9.86;87;74;-103;-103;92;67;Tupungato;MENDOZA;01/2024
Suipacha, BUENOS AIRES;479,000;88,600;172,000;11.04;18.98;8.46;87;51;-102;-102;80;42;Suipacha;BUENOS AIRES;01/2024
Villa Gesell, BUENOS AIRES;4,210,000;4,230,000;8,090,000;13.28;14.18;7.64;65;62;-98;-98;58;56;Villa Gesell;BUENOS AIRES;01/2024
Avellaneda, RÍO NEGRO;4,810,000;442,000;690,000;10.20;16.52;10.53;78;69;-97;-97;71;60;Avellaneda;RÍO NEGRO;01/2024
Arrecifes, BUENOS AIRES;1,750,000;315,000;252,000;14.68;15.95;15.42;63;61;-101;-101;56;53;Arrecifes;BUENOS AIRES;01/2024
Moreno, SANTIAGO DEL ESTERO;183,000;5,280,000;8,790;13.86;8.25;10.76;79;79;-99;-96;70;70;Moreno;SANTIAGO DEL ESTERO;01/2024
General Alvear, CORRIENTES;192,000;1,060,000;5,110;13.13;7.93;11.73;73;73;-102;-81;66;65;General Alvear;CORRIENTES;01/2024
9 de Julio, RÍO NEGRO;10,100;--;273;1.39;--;--;865;94;-86;-86;809;102;9 de Julio;RÍO NEGRO;01/2024
General Donovan, CHACO;249,000;1,060,000;4,310;17.52;14.60;7.68;69;64;-96;-86;59;57;General Donovan;CHACO;01/2024
Fray Mamerto Esquiú, CATAMARCA;831,000;525,000;54,000;14.15;13.84;11.72;75;71;-103;-98;66;65;Fray Mamerto Esquiú;CATAMARCA;01/2024
San Antonio de Areco, BUENOS AIRES;747,000;445,000;1,000,000;12.21;13.27;8.46;68;61;-101;-101;63;55;San Antonio de Areco;BUENOS AIRES;01/2024
Bermejo, FORMOSA;198,000;1,740,000;3,890;13.49;10.30;5.40;76;76;-90;-90;67;67;Bermejo;FORMOSA;01/2024
Catán Lil, NEUQUÉN;--;--;19,400;--;--;0.85;--;--;--;--;--;--;Catán Lil;NEUQUÉN;01/2024
Chos Malal, NEUQUÉN;683,000;35,200;571,000;11.86;13.72;12.43;83;76;-101;-93;75;67;Chos Malal;NEUQUÉN;01/2024
Ullum, SAN JUAN;289,000;165,000;176,000;12.12;14.63;6.16;77;70;-105;-99;71;59;Ullum;SAN JUAN;01/2024
Lácar, NEUQUÉN;1,840,000;631,000;1,940,000;10.44;8.96;10.76;88;88;-101;-97;83;83;Lácar;NEUQUÉN;01/2024
Aluminé, NEUQUÉN;136,000;573;615,000;0.89;--;11.25;1,649;91;-97;-97;1,416;84;Aluminé;NEUQUÉN;01/2024
Oberá, MISIONES;1,080,000;5,360,000;142,000;11.87;12.64;14.13;89;73;-103;-103;81;64;Oberá;MISIONES;01/2024
General Guido, BUENOS AIRES;118,000;65,900;193,000;14.18;19.68;13.54;75;58;-101;-98;66;50;General Guido;BUENOS AIRES;01/2024
Tafí del Valle, TUCUMÁN;2,500,000;3,540,000;155,000;5.38;6.78;7.79;116;102;-101;-101;128;110;Tafí del Valle;TUCUMÁN;01/2024
Catriló, LA PAMPA;640,000;58,000;140,000;15.04;12.28;14.63;66;64;-100;-92;58;57;Catriló;LA PAMPA;01/2024
Lincoln, BUENOS AIRES;2,510,000;488,000;449,000;14.49;14.57;14.83;63;56;-101;-101;55;47;Lincoln;BUENOS AIRES;01/2024
Deseado, SANTA CRUZ;12,500,000;472,000;7,820,000;9.54;16.85;10.75;87;76;-100;-97;82;65;Deseado;SANTA CRUZ;01/2024
Bella Vista, CORRIENTES;1,020,000;3,770,000;13,300;10.79;4.34;10.43;81;78;-101;-100;75;70;Bella Vista;CORRIENTES;01/2024
Curacó, LA PAMPA;30,400;--;127;1.04;--;--;1,292;79;-94;-94;1,154;84;Curacó;LA PAMPA;01/2024
Saladas, CORRIENTES;596,000;2,090,000;13,600;11.43;7.36;15.50;77;66;-100;-100;69;59;Saladas;CORRIENTES;01/2024
Carmen de Areco, BUENOS AIRES;669,000;464,000;1,010,000;11.51;18.19;9.84;72;53;-98;-98;67;46;Carmen de Areco;BUENOS AIRES;01/2024
Gaiman, CHUBUT;1,180,000;32,000;182,000;11.03;12.06;13.79;80;73;-104;-101;74;66;Gaiman;CHUBUT;01/2024
Famatina, LA RIOJA;17,400;508,000;--;5.22;19.78;--;600;61;-105;-102;625;52;Famatina;LA RIOJA;01/2024
Villarino, BUENOS AIRES;2,010,000;614,000;1,760,000;13.79;18.94;13.71;63;62;-101;-99;56;53;Villarino;BUENOS AIRES;01/2024
Vicente López, BUENOS AIRES;4,910,000;6,100,000;7,050,000;15.75;19.88;15.03;50;48;-96;-96;43;41;Vicente López;BUENOS AIRES;01/2024
Magdalena, BUENOS AIRES;496,000;396,000;666,000;14.09;7.64;8.65;60;60;-100;-100;53;53;Magdalena;BUENOS AIRES;01/2024
San Martín, CORRIENTES;731,000;1,330,000;4,490;12.80;7.48;8.09;79;79;-100;-99;71;71;San Martín;CORRIENTES;01/2024
Necochea, BUENOS AIRES;5,120,000;2,040,000;4,070,000;10.96;13.07;8.72;76;72;-100;-99;71;66;Necochea;BUENOS AIRES;01/2024
Rosario, SANTA FE;34,600,000;40,800,000;21,300,000;13.16;13.86;13.62;62;57;-100;-100;56;51;Rosario;SANTA FE;01/2024
Paraná, ENTRE RÍOS;5,700,000;16,700,000;2,480,000;12.41;12;12.99;71;65;-102;-101;65;60;Paraná;ENTRE RÍOS;01/2024
Feliciano, ENTRE RÍOS;427,000;302,000;6,740;11.30;16.79;18.94;85;50;-103;-91;79;44;Feliciano;ENTRE RÍOS;01/2024
Bragado, BUENOS AIRES;1,970,000;225,000;380,000;10.19;18.77;13.56;84;53;-99;-99;77;44;Bragado;BUENOS AIRES;01/2024
Esteban Echeverría, BUENOS AIRES;7,210,000;9,260,000;12,100,000;16.72;17.43;10.24;52;52;-100;-100;44;44;Esteban Echeverría;BUENOS AIRES;01/2024
Telsen, CHUBUT;66,900;--;--;0.96;--;--;1,251;1,251;-95;-95;1,140;1,140;Telsen;CHUBUT;01/2024
Guachipas, SALTA;33,000;577,000;782;14.23;8.87;10.73;77;68;-87;-87;68;56;Guachipas;SALTA;01/2024
Ojo de Agua, SANTIAGO DEL ESTERO;11,400;2,170,000;5,750;4.65;5.10;2.63;155;104;-91;-91;144;109;Ojo de Agua;SANTIAGO DEL ESTERO;01/2024
General Paz, BUENOS AIRES;896,000;125,000;220,000;10.72;15.55;10.09;60;52;-99;-96;58;44;General Paz;BUENOS AIRES;01/2024
Santa Victoria, SALTA;58,500;44,300;--;1.21;0.36;--;1,233;1,233;-105;-103;1,142;895;Santa Victoria;SALTA;01/2024
Independencia, CHACO;276,000;1,510,000;5,480;14.19;10.17;13.37;72;71;-103;-96;64;64;Independencia;CHACO;01/2024
Rancul, LA PAMPA;527,000;31,600;234,000;17.22;15.83;9.61;60;60;-98;-95;52;52;Rancul;LA PAMPA;01/2024
Rivadavia, SAN JUAN;2,010,000;1,590,000;3,070,000;15.43;18.37;11.30;67;64;-100;-98;59;56;Rivadavia;SAN JUAN;01/2024
Rauch, BUENOS AIRES;1,030,000;105,000;352,000;9.76;20.90;10.53;106;60;-99;-98;99;50;Rauch;BUENOS AIRES;01/2024
Maipú, BUENOS AIRES;706,000;255,000;402,000;13.11;21.15;11.30;70;54;-101;-97;63;47;Maipú;BUENOS AIRES;01/2024
San Javier, MISIONES;25,900;1,290,000;10,100;10.78;9.36;1.23;89;84;-99;-95;81;80;San Javier;MISIONES;01/2024
Carlos Casares, BUENOS AIRES;928,000;272,000;382,000;12.45;13.56;7.86;66;66;-104;-104;61;59;Carlos Casares;BUENOS AIRES;01/2024
Pocito, SAN JUAN;1,660,000;1,460,000;3,200,000;13.48;14.97;9.36;72;67;-103;-100;65;61;Pocito;SAN JUAN;01/2024
Pilcaniyeu, RÍO NEGRO;188,000;101,000;399,000;10.38;13.25;8.45;96;76;-96;-96;82;69;Pilcaniyeu;RÍO NEGRO;01/2024
Valcheta, RÍO NEGRO;63,200;2,190;202,000;1.38;9.70;11.65;1,059;77;-96;-91;1,014;70;Valcheta;RÍO NEGRO;01/2024
Lago Buenos Aires, SANTA CRUZ;1,320,000;6,210;316,000;11.72;10.12;12.32;87;82;-99;-90;78;73;Lago Buenos Aires;SANTA CRUZ;01/2024
Juárez Celman, CÓRDOBA;3,860,000;1,680,000;61,800;14.63;19.10;12.05;67;60;-99;-99;59;52;Juárez Celman;CÓRDOBA;01/2024
General Alvarado, BUENOS AIRES;3,890,000;1,790,000;3,570,000;8.59;9.91;7.43;76;76;-101;-100;76;76;General Alvarado;BUENOS AIRES;01/2024
Rinconada, JUJUY;--;65,300;--;--;12.18;--;--;--;--;--;--;--;Rinconada;JUJUY;01/2024
Jáchal, SAN JUAN;265,000;73,500;1,410,000;15.64;12.59;10.31;68;68;-99;-96;58;58;Jáchal;SAN JUAN;01/2024
Adolfo Alsina, RÍO NEGRO;1,590,000;831,000;5,620,000;14.55;11.41;12.01;64;64;-98;-98;57;55;Adolfo Alsina;RÍO NEGRO;01/2024
General Lamadrid, BUENOS AIRES;524,000;3,280;127,000;12.61;12.27;13.44;73;71;-101;-95;65;62;General Lamadrid;BUENOS AIRES;01/2024
Berón de Astrada, CORRIENTES;302,000;163,000;859;12.75;14.62;5.58;75;69;-102;-100;68;63;Berón de Astrada;CORRIENTES;01/2024
Santa Rosa, MENDOZA;856,000;460,000;20,100;11.23;15.55;8.06;85;73;-106;-104;79;64;Santa Rosa;MENDOZA;01/2024
Chacabuco, CHACO;238,000;2,720,000;1,770;15.78;10.91;13.59;73;71;-101;-99;64;64;Chacabuco;CHACO;01/2024
Angaco, SAN JUAN;265,000;108,000;29,400;15.65;15.15;10.62;68;68;-99;-99;60;60;Angaco;SAN JUAN;01/2024
Santa María, CÓRDOBA;10,400,000;10,600,000;1,520,000;10.12;13.87;8.46;73;62;-102;-98;70;59;Santa María;CÓRDOBA;01/2024
Salavina, SANTIAGO DEL ESTERO;1,220;816,000;--;6.63;16.48;--;104;63;-116;-94;116;56;Salavina;SANTIAGO DEL ESTERO;01/2024
Patagones, BUENOS AIRES;1,680,000;357,000;1,980,000;14.77;16.09;12.53;65;61;-100;-99;57;52;Patagones;BUENOS AIRES;01/2024
Pocho, CÓRDOBA;56,700;590,000;--;15.60;16.72;--;58;58;-98;-98;51;51;Pocho;CÓRDOBA;01/2024
Ayacucho, BUENOS AIRES;1,010,000;209,000;371,000;11.27;15.83;11.22;78;65;-102;-99;72;58;Ayacucho;BUENOS AIRES;01/2024
General Belgrano, CHACO;92,100;743,000;2,650;12.97;12.14;11.72;75;66;-102;-99;67;62;General Belgrano;CHACO;01/2024
Silípica, SANTIAGO DEL ESTERO;92,500;569,000;1,850;11.48;14.22;17.37;67;58;-103;-90;61;56;Silípica;SANTIAGO DEL ESTERO;01/2024
General San Martín, BUENOS AIRES;9,760,000;13,900,000;14,300,000;14.94;15.84;11.23;53;53;-100;-98;46;46;General San Martín;BUENOS AIRES;01/2024
Guaminí, BUENOS AIRES;531,000;118,000;469,000;17.30;16.28;14.28;61;61;-101;-97;51;51;Guaminí;BUENOS AIRES;01/2024
Maracó, LA PAMPA;2,280,000;196,000;1,920,000;14.84;17.43;13.11;62;60;-100;-100;54;52;Maracó;LA PAMPA;01/2024
Tilcara, JUJUY;337,000;2,930,000;9,970;3.09;7.86;3.52;116;98;-103;-100;154;104;Tilcara;JUJUY;01/2024
Rosario Vera Peñaloza, LA RIOJA;86,300;971,000;--;1.72;20.45;--;823;60;-94;-94;804;51;Rosario Vera Peñaloza;LA RIOJA;01/2024
Conesa, RÍO NEGRO;171,000;43,300;688,000;15.12;18.32;11.71;61;61;-95;-90;53;53;Conesa;RÍO NEGRO;01/2024
Andalgalá, CATAMARCA;337,000;3,640,000;1,950;16.46;11.85;3.44;73;73;-101;-99;61;61;Andalgalá;CATAMARCA;01/2024
Tafí Viejo, TUCUMÁN;7,030,000;13,200,000;2,030,000;12.35;15.22;8.32;72;61;-100;-100;66;58;Tafí Viejo;TUCUMÁN;01/2024
Rosario de la Frontera, SALTA;700,000;3,950,000;54,400;9.12;9.99;11.86;85;81;-103;-102;83;82;Rosario de la Frontera;SALTA;01/2024
Los Lagos, NEUQUÉN;981,000;202,000;2,070,000;6.88;8.55;8.70;105;105;-102;-97;112;107;Los Lagos;NEUQUÉN;01/2024
Choya, SANTIAGO DEL ESTERO;2,850,000;2,960,000;312,000;10.52;14.22;9.18;71;68;-97;-97;68;65;Choya;SANTIAGO DEL ESTERO;01/2024
La Poma, SALTA;61,300;14,200;--;1.10;0.96;--;1,252;1,252;-91;-90;1,122;1,003;La Poma;SALTA;01/2024
La Candelaria, SALTA;123,000;1,920,000;256;10.89;9.48;--;79;79;-100;-96;71;71;La Candelaria;SALTA;01/2024
Corpen Aike, SANTA CRUZ;737,000;105,000;1,030,000;10.94;11.81;9.54;91;91;-104;-93;82;82;Corpen Aike;SANTA CRUZ;01/2024
Punta Indio, BUENOS AIRES;382,000;135,000;11,400;17.18;22.62;14.21;53;49;-102;-97;45;41;Punta Indio;BUENOS AIRES;01/2024
General José de San Martín, SALTA;5,820,000;17,000,000;514,000;9.66;12.24;9.18;107;78;-100;-100;100;76;General José de San Martín;SALTA;01/2024
Paclín, CATAMARCA;156,000;390,000;128;9.61;18.03;--;129;62;-104;-96;126;54;Paclín;CATAMARCA;01/2024
Laprida, BUENOS AIRES;366,000;7,210;617,000;10.17;9.22;10.30;80;74;-102;-99;75;67;Laprida;BUENOS AIRES;01/2024
Coronel Dorrego, BUENOS AIRES;415,000;306,000;1,260,000;17.25;20.09;10.62;63;59;-102;-100;53;50;Coronel Dorrego;BUENOS AIRES;01/2024
San Ignacio, MISIONES;1,190,000;3,530,000;59,300;14.93;11.34;14.73;72;71;-100;-100;63;61;San Ignacio;MISIONES;01/2024
Río Segundo, CÓRDOBA;6,140,000;2,270,000;278,000;14.34;19.35;11.55;61;55;-100;-100;54;48;Río Segundo;CÓRDOBA;01/2024
Itatí, CORRIENTES;418,000;1,640,000;2,900;12.64;8.96;12.27;74;74;-102;-98;67;67;Itatí;CORRIENTES;01/2024
Exaltación de la Cruz, BUENOS AIRES;2,580,000;1,110,000;1,390,000;9.82;12.52;11.88;66;59;-103;-103;64;53;Exaltación de la Cruz;BUENOS AIRES;01/2024
Pomán, CATAMARCA;689,000;1,940,000;2,530;13.18;10.28;5.92;70;70;-101;-100;63;63;Pomán;CATAMARCA;01/2024
Maipú, CHACO;184,000;1,800,000;3,990;14.49;10.51;11.83;74;71;-102;-97;66;66;Maipú;CHACO;01/2024
Loncopué, NEUQUÉN;110,000;16,300;762,000;1.38;1.82;3.30;1,158;886;-94;-94;1,080;890;Loncopué;NEUQUÉN;01/2024
Tandil, BUENOS AIRES;3,200,000;3,210,000;3,880,000;13.04;14.12;10.32;73;65;-101;-101;65;58;Tandil;BUENOS AIRES;01/2024
Sobremonte, CÓRDOBA;118,000;316,000;--;19.83;19.99;--;55;55;-101;-100;45;45;Sobremonte;CÓRDOBA;01/2024
Presidente Roque Sáenz Peña, CÓRDOBA;1,750,000;1,150,000;18,200;12.10;18.28;9.04;79;64;-100;-98;71;56;Presidente Roque Sáenz Peña;CÓRDOBA;01/2024
San Carlos, MENDOZA;2,040,000;473,000;820,000;10.04;14.47;9.41;81;76;-103;-103;77;69;San Carlos;MENDOZA;01/2024
Nogoyá, ENTRE RÍOS;751,000;1,920,000;6,420;11.71;12.46;11.34;83;65;-104;-101;77;59;Nogoyá;ENTRE RÍOS;01/2024
Matacos, FORMOSA;372,000;2,160,000;686;13.47;3.28;15.48;75;72;-95;-95;67;63;Matacos;FORMOSA;01/2024
Monteros, TUCUMÁN;2,840,000;2,670,000;97,900;12.91;15.63;11.18;73;63;-99;-99;66;57;Monteros;TUCUMÁN;01/2024
Río Cuarto, CÓRDOBA;11,800,000;9,740,000;1,020,000;13.52;17.04;10.19;68;62;-100;-100;61;55;Río Cuarto;CÓRDOBA;01/2024
Florencio Varela, BUENOS AIRES;9,950,000;7,660,000;13,900,000;13.10;15.24;10.98;59;59;-101;-101;53;53;Florencio Varela;BUENOS AIRES;01/2024
General Roca, RÍO NEGRO;16,600,000;5,300,000;21,600,000;11.43;13.08;10.68;75;75;-101;-101;70;69;General Roca;RÍO NEGRO;01/2024
Albardón, SAN JUAN;524,000;749,000;393,000;12.87;14.70;8.25;76;73;-105;-102;70;66;Albardón;SAN JUAN;01/2024
Atamisqui, SANTIAGO DEL ESTERO;51,300;645,000;4,300;13.65;10.24;2.77;60;60;-95;-86;52;52;Atamisqui;SANTIAGO DEL ESTERO;01/2024
Lago Argentino, SANTA CRUZ;1,540,000;293,000;1,110,000;8.03;6.13;6.53;105;105;-102;-101;104;93;Lago Argentino;SANTA CRUZ;01/2024
Libertad, CHACO;368,000;969,000;54,400;13.43;12.13;16.17;79;65;-106;-102;71;55;Libertad;CHACO;01/2024
Formosa, FORMOSA;11,300,000;23,800,000;1,060,000;9.02;7.30;11.38;89;78;-99;-97;87;74;Formosa;FORMOSA;01/2024
Leandro N. Alem, BUENOS AIRES;771,000;109,000;376,000;15.08;16.86;13.45;62;62;-101;-98;55;53;Leandro N. Alem;BUENOS AIRES;01/2024
Coronel Pringles, BUENOS AIRES;248,000;222,000;1,820,000;15.15;18.06;7.27;67;59;-104;-104;57;52;Coronel Pringles;BUENOS AIRES;01/2024
Patiño, FORMOSA;1,560,000;10,800,000;31,100;14.73;6.86;11.75;75;74;-99;-94;67;67;Patiño;FORMOSA;01/2024
Ramallo, BUENOS AIRES;3,420,000;2,370,000;408,000;12.44;13.47;11.49;66;57;-102;-102;61;51;Ramallo;BUENOS AIRES;01/2024
Adolfo Alsina, BUENOS AIRES;200,000;221,000;1,400,000;16.70;14.87;10.28;68;68;-101;-98;59;59;Adolfo Alsina;BUENOS AIRES;01/2024
General Arenales, BUENOS AIRES;855,000;90,200;65,500;16.25;17.53;16.38;61;55;-101;-98;53;46;General Arenales;BUENOS AIRES;01/2024
San Lorenzo, CHACO;112,000;1,010,000;7,790;16.41;12.28;15.92;71;66;-101;-95;60;59;San Lorenzo;CHACO;01/2024
La Paz, ENTRE RÍOS;1,600,000;3,430,000;21,100;11.42;12.90;11.19;83;63;-101;-101;77;56;La Paz;ENTRE RÍOS;01/2024
General Ocampo, LA RIOJA;65,700;741,000;2,610;19.31;15.87;17.14;63;60;-93;-93;53;53;General Ocampo;LA RIOJA;01/2024
San Pedro, MISIONES;28,900;879,000;105;16.76;7.22;--;79;79;-99;-85;69;69;San Pedro;MISIONES;01/2024
El Alto, CATAMARCA;339,000;392,000;1,060;16.97;15.66;6.70;61;61;-96;-96;52;52;El Alto;CATAMARCA;01/2024
Sarmiento, CHUBUT;1,690,000;109,000;382,000;10.73;13.50;13.61;84;80;-99;-93;74;71;Sarmiento;CHUBUT;01/2024
Bariloche, RÍO NEGRO;5,560,000;2,680,000;14,300,000;10.74;14.86;9.73;83;73;-99;-99;77;64;Bariloche;RÍO NEGRO;01/2024
Junín, BUENOS AIRES;3,280,000;1,900,000;2,550,000;14.48;18.99;12.74;64;53;-98;-98;57;45;Junín;BUENOS AIRES;01/2024
Villaguay, ENTRE RÍOS;1,500,000;1,960,000;21,100;11.30;11.45;16.52;74;68;-100;-100;68;62;Villaguay;ENTRE RÍOS;01/2024
Rojas, BUENOS AIRES;1,240,000;592,000;708,000;9.90;15.09;12.05;65;60;-102;-102;63;53;Rojas;BUENOS AIRES;01/2024
Alberdi, SANTIAGO DEL ESTERO;46,700;1,460,000;6,050;11.40;9.51;7.79;79;79;-97;-96;71;71;Alberdi;SANTIAGO DEL ESTERO;01/2024
General Juan F. Quiroga, LA RIOJA;35,900;102,000;--;1.21;20.85;--;1,037;57;-97;-97;991;48;General Juan F. Quiroga;LA RIOJA;01/2024
Juan F. Ibarra, SANTIAGO DEL ESTERO;36,200;1,160,000;623;16.93;14.02;11.57;72;71;-99;-90;61;61;Juan F. Ibarra;SANTIAGO DEL ESTERO;01/2024
Tinogasta, CATAMARCA;330,000;4,680,000;2,530;1.13;9.42;2.31;1,448;86;-95;-95;1,300;86;Tinogasta;CATAMARCA;01/2024
La Paz, MENDOZA;783,000;132,000;21,700;8.61;16.42;7.16;100;71;-103;-99;97;62;La Paz;MENDOZA;01/2024
General Roca, CÓRDOBA;2,090,000;567,000;25,000;13.41;19.97;14.04;73;62;-98;-98;65;54;General Roca;CÓRDOBA;01/2024
Libertador General San Martín, CHACO;688,000;2,840,000;6,250;14.69;13.45;15.83;74;66;-99;-97;66;60;Libertador General San Martín;CHACO;01/2024
Huiliches, NEUQUÉN;1,400,000;300,000;1,040,000;7.99;9.29;12.77;97;83;-101;-98;97;78;Huiliches;NEUQUÉN;01/2024
San Cosme, CORRIENTES;1,900,000;2,580,000;155,000;12.02;8.34;10.03;76;76;-100;-99;70;70;San Cosme;CORRIENTES;01/2024
2 de Abril, CHACO;29,900;478,000;--;16.16;11.56;--;74;70;-96;-96;64;64;2 de Abril;CHACO;01/2024
Laishi, FORMOSA;227,000;1,650,000;13,100;11.87;12.07;13.16;79;73;-98;-98;71;65;Laishi;FORMOSA;01/2024
Punilla, CÓRDOBA;13,200,000;14,400,000;2,460,000;10.32;11.10;7.68;77;69;-101;-97;73;67;Punilla;CÓRDOBA;01/2024
Tres Lomas, BUENOS AIRES;345,000;3,450;58,000;16.15;11.06;6.53;59;59;-100;-94;51;51;Tres Lomas;BUENOS AIRES;01/2024
Juan Martín de Pueyrredón, SAN LUIS;13,600,000;3,260,000;15,400,000;11.46;13.21;9.52;85;76;-101;-99;79;68;Juan Martín de Pueyrredón;SAN LUIS;01/2024
Vinchina, LA RIOJA;78,700;299,000;--;14.44;13.59;--;78;63;-95;-95;67;53;Vinchina;LA RIOJA;01/2024
Uruguay, ENTRE RÍOS;2,390,000;5,970,000;912,000;12.13;11.41;10.33;73;68;-102;-102;67;61;Uruguay;ENTRE RÍOS;01/2024
Chacabuco, BUENOS AIRES;1,780,000;1,270,000;1,560,000;12.70;14.54;8.76;67;57;-101;-101;59;50;Chacabuco;BUENOS AIRES;01/2024
General Alvear, BUENOS AIRES;339,000;8,270;944,000;4.07;7.56;9.67;99;88;-104;-102;119;80;General Alvear;BUENOS AIRES;01/2024
Azul, BUENOS AIRES;3,490,000;1,850,000;1,870,000;11.83;17.68;10.13;79;59;-100;-100;71;51;Azul;BUENOS AIRES;01/2024
Roque Pérez, BUENOS AIRES;237,000;112,000;648,000;16.95;22.90;12.14;56;53;-104;-100;49;44;Roque Pérez;BUENOS AIRES;01/2024
Gualeguay, ENTRE RÍOS;3,020,000;3,860,000;49,500;10.57;11.11;10.53;71;70;-97;-96;66;64;Gualeguay;ENTRE RÍOS;01/2024
Utracán, LA PAMPA;825,000;22,400;964,000;14.52;16.65;7;69;69;-98;-93;61;61;Utracán;LA PAMPA;01/2024
Catamarca, CATAMARCA;7,190,000;7,730,000;1,280,000;13.16;15.48;10.22;74;63;-96;-96;67;57;Catamarca;CATAMARCA;01/2024
Tres Arroyos, BUENOS AIRES;2,990,000;1,380,000;2,760,000;12.58;13.47;7.04;71;71;-102;-102;65;65;Tres Arroyos;BUENOS AIRES;01/2024
San Alberto, CÓRDOBA;3,750,000;5,760,000;421,000;8.19;8.30;7.95;83;83;-102;-99;86;86;San Alberto;CÓRDOBA;01/2024
Belgrano, SAN LUIS;430,000;816;78,000;13.32;5.29;14.64;83;67;-98;-91;73;59;Belgrano;SAN LUIS;01/2024
Pergamino, BUENOS AIRES;3,850,000;2,220,000;1,930,000;12.03;12.20;5.85;67;67;-103;-103;62;62;Pergamino;BUENOS AIRES;01/2024
Godoy Cruz, MENDOZA;5,360,000;1,110,000;5,630,000;13.91;20.04;11.93;71;59;-100;-97;64;51;Godoy Cruz;MENDOZA;01/2024
Ushuaia, TIERRA DEL FUEGO;4,320,000;1,070,000;5,620,000;10.63;12.20;9.49;90;90;-95;-95;83;83;Ushuaia;TIERRA DEL FUEGO;01/2024
Pinamar, BUENOS AIRES;2,350,000;2,450,000;4,190,000;8.78;15.69;10.22;96;60;-100;-99;92;54;Pinamar;BUENOS AIRES;01/2024
Ñorquincó, RÍO NEGRO;--;--;297;--;--;--;--;--;--;--;--;--;Ñorquincó;RÍO NEGRO;01/2024
Daireaux, BUENOS AIRES;1,030,000;12,600;37,900;14.14;5.54;13.33;64;57;-102;-102;56;51;Daireaux;BUENOS AIRES;01/2024
Cainguás, MISIONES;354,000;2,890,000;5,350;12.96;9.58;13.51;87;85;-105;-89;78;78;Cainguás;MISIONES;01/2024
Puelén, LA PAMPA;1,070,000;3,110;183,000;7.10;5.74;11.04;102;82;-103;-98;108;75;Puelén;LA PAMPA;01/2024
Río Seco, CÓRDOBA;366,000;1,140,000;2,000;12.17;7.20;11.53;64;64;-95;-90;55;55;Río Seco;CÓRDOBA;01/2024
Marcos Juárez, CÓRDOBA;5,000,000;3,290,000;120,000;14;18.52;10.82;63;58;-98;-98;56;51;Marcos Juárez;CÓRDOBA;01/2024
Chascomús, BUENOS AIRES;2,010,000;994,000;2,080,000;13.70;19.56;8.77;63;52;-100;-100;57;45;Chascomús;BUENOS AIRES;01/2024
General Pedernera, SAN LUIS;10,200,000;666,000;4,380,000;12.36;15.72;10.78;71;71;-100;-100;65;65;General Pedernera;SAN LUIS;01/2024
Paso de Indios, CHUBUT;45,100;--;--;0.89;--;--;1,389;1,389;-86;-86;1,233;1,233;Paso de Indios;CHUBUT;01/2024
Belgrano, SANTA FE;964,000;2,570,000;70,100;12.94;15.26;15.63;67;57;-101;-99;60;50;Belgrano;SANTA FE;01/2024
General Pinto, BUENOS AIRES;1,370,000;315,000;123,000;12.55;18.15;14.33;63;60;-96;-92;57;52;General Pinto;BUENOS AIRES;01/2024
Hipólito Yrigoyen, BUENOS AIRES;490,000;9,320;149,000;16.44;19.76;11.46;60;55;-100;-92;52;52;Hipólito Yrigoyen;BUENOS AIRES;01/2024
Ayacucho, SAN LUIS;1,240,000;55,100;565,000;10.60;2.29;7.17;84;84;-97;-97;80;80;Ayacucho;SAN LUIS;01/2024
General Belgrano, LA RIOJA;53,100;837,000;2,620;1.46;16.80;13.66;973;64;-91;-91;921;55;General Belgrano;LA RIOJA;01/2024
