U_TECNICA;latitud;longitud;mercado;pais;provincia;localidad;portadoras;plan;plan general
ATP0001;-31,312585;-64,222444;Mediterraneo;Argentina;Córdoba;Córdoba;2;No;Sin Plan
ATP0004;-31,312585;-64,222444;Mediterraneo;Argentina;Córdoba;Córdoba;1;No;Sin Plan
BA00001;-35,164385;-60,086914;Bs.As./La Pam;Argentina;Buenos Aires;Veinticinco de Mayo;2;Carga;Sin Plan / Alta Carga
BA00003;-35,428416;-60,153671;Bs.As./La Pam;Argentina;Buenos Aires;Veinticinco de Mayo;4;No;Sin Plan
BA00006;-35,235081;-60,828417;Litoral Sur;Argentina;Buenos Aires;Nueve de Julio;2;No;Sin Plan
BA00007;-35,289349;-61,395622;Bs.As./La Pam;Argentina;Buenos Aires;Nueve de Julio;4;No;Sin Plan
BA00009;-37,26616;-56,97682;Bs.As./La Pam;Argentina;Buenos Aires;Villa Gesell;3;Carga;Sin Plan / Alta Carga
BA00010;-35,646128;-60,703021;Litoral Sur;Argentina;Buenos Aires;Nueve de Julio;1;No;Sin Plan
BA00015;-37,963457;-60,418847;Bs.As./La Pam;Argentina;Buenos Aires;Adolfo Gonzales Chaves;2;No;Sin Plan
BA00016;-37,916893;-60,068315;Bs.As./La Pam;Argentina;Buenos Aires;Adolfo Gonzales Chaves;1;No;Sin Plan
BA00018;-34,860024;-62,464726;Litoral Sur;Argentina;Buenos Aires;Florentino Ameghino;3;No;Sin Plan
BA00020;-36,730856;-59,781835;Bs.As./La Pam;Argentina;Buenos Aires;Azul;4;No;Sin Plan
BA00021;-36,394996;-59,499272;Bs.As./La Pam;Argentina;Buenos Aires;Azul;3;No;Sin Plan
BA00022;-37,351076;-59,948638;Bs.As./La Pam;Argentina;Buenos Aires;Azul;2;No;Sin Plan
BA00023;-37,047842;-59,950665;Bs.As./La Pam;Argentina;Buenos Aires;Azul;2;No;Sin Plan
BA00024;-38,655918;-62,281063;Bs.As./La Pam;Argentina;Buenos Aires;Bahía Blanca;3;No;Sin Plan
BA00025;-38,490779;-61,887052;Bs.As./La Pam;Argentina;Buenos Aires;Bahía Blanca;2;No;Restricciones para Implementar
BA00027;-33,841379;-59,453731;Litoral Sur;Argentina;Buenos Aires;Baradero;1;Si;Expansiones 2024
BA00029;-37,668921;-59,820821;Bs.As./La Pam;Argentina;Buenos Aires;Benito Juárez;4;No;Sin Plan
BA00031;-36,425049;-61,423851;Bs.As./La Pam;Argentina;Buenos Aires;Bolívar;3;No;Restricciones para Implementar
BA00032;-34,900695;-60,755741;Bs.As./La Pam;Argentina;Buenos Aires;Bragado;4;No;Sin Plan
BA00035;-34,958542;-58,090311;Bs.As./La Pam;Argentina;Buenos Aires;La Plata;3;Carga;Sin Plan / Alta Carga
BA00038;-35,065476;-58,791454;Bs.As./La Pam;Argentina;Buenos Aires;Cañuelas;4;No;Sin Plan
BA00039;-35,604567;-61,375262;Bs.As./La Pam;Argentina;Buenos Aires;Carlos Casares;4;No;Sin Plan
BA00040;-35,202775;-62,770547;Litoral Sur;Argentina;Buenos Aires;Carlos Tejedor;3;No;Restricciones para Implementar
BA00044;-34,466876;-59,992931;Litoral Sur;Argentina;Buenos Aires;Carmen de Areco;1;No;Restricciones para Implementar
BA00045;-36,118097;-57,806972;Litoral Sur;Argentina;Buenos Aires;Castelli;3;No;Sin Plan
BA00046;-34,529521;-60,295495;Litoral Sur;Argentina;Buenos Aires;Chacabuco;2;No;Sin Plan
BA00048;-35,428115;-58,069312;Bs.As./La Pam;Argentina;Buenos Aires;Chascomús;3;No;Sin Plan
BA00050;-35,634152;-57,931309;Bs.As./La Pam;Argentina;Buenos Aires;Chascomús;3;No;Sin Plan
BA00051;-35,897161;-57,881695;Bs.As./La Pam;Argentina;Buenos Aires;Lezama;3;No;Sin Plan
BA00055;-33,876572;-61,090989;Litoral Sur;Argentina;Buenos Aires;Colón;4;Si;Expansiones 2024
BA00056;-38,702746;-61,268832;Bs.As./La Pam;Argentina;Buenos Aires;Coronel Dorrego;3;No;Sin Plan
BA00058;-38,784289;-61,502424;Bs.As./La Pam;Argentina;Buenos Aires;Coronel Dorrego;1;No;Sin Plan
BA00060;-37,995396;-61,344059;Bs.As./La Pam;Argentina;Buenos Aires;Coronel Pringles;4;No;Restricciones para Implementar
BA00066;-34,337888;-59,109522;Litoral Sur;Argentina;Buenos Aires;Exaltación de la Cruz;3;Si;Sectorizaciones 2024
BA00068;-38,270099;-57,844171;Bs.As./La Pam;Argentina;Buenos Aires;General Alvarado;4;Carga;Sin Plan / Alta Carga
BA00069;-38,156405;-58,219678;Bs.As./La Pam;Argentina;Buenos Aires;General Alvarado;4;No;Sin Plan
BA00070;-36,013584;-60,008942;Bs.As./La Pam;Argentina;Buenos Aires;General Alvear;5;No;Restricciones para Implementar
BA00071;-33,341134;-60,215597;Litoral Sur;Argentina;Buenos Aires;San Nicolás;3;Carga;Sin Plan / Alta Carga
BA00076;-37,122101;-56,870809;Bs.As./La Pam;Argentina;Buenos Aires;Pinamar;4;No;Restricciones para Implementar
BA00077;-36,692322;-56,691627;Bs.As./La Pam;Argentina;Buenos Aires;La Costa;4;No;Restricciones para Implementar
BA00080;-34,773413;-61,881701;Bs.As./La Pam;Argentina;Buenos Aires;General Pinto;4;No;Sin Plan
BA00081;-37,934862;-57,674335;Bs.As./La Pam;Argentina;Buenos Aires;General Pueyrredón;4;Carga;Sin Plan / Alta Carga
BA00083;-34,417678;-62,966762;Litoral Sur;Argentina;Buenos Aires;General Villegas;1;No;Sin Plan
BA00084;-34,558815;-63,173442;Litoral Sur;Argentina;Buenos Aires;General Villegas;2;No;Sin Plan
BA00090;-35,635;-59,7769;Bs.As./La Pam;Argentina;Buenos Aires;Saladillo;2;Carga;Sin Plan / Alta Carga
BA00091;-36,304622;-61,719722;Bs.As./La Pam;Argentina;Buenos Aires;Hipólito Yrigoyen;4;No;Sin Plan
BA00092;-37,609188;-59,422704;Bs.As./La Pam;Argentina;Buenos Aires;Benito Juárez;4;No;Sin Plan
BA00094;-34,614451;-60,701408;Bs.As./La Pam;Argentina;Buenos Aires;Chacabuco;2;No;Sin Plan
BA00095;-34,621832;-60,927807;Bs.As./La Pam;Argentina;Buenos Aires;Junín;2;No;Sin Plan
BA00096;-35,002285;-61,035339;Bs.As./La Pam;Argentina;Buenos Aires;General Viamonte;4;No;Sin Plan
BA00097;-36,236414;-59,368311;Litoral Sur;Argentina;Buenos Aires;Las Flores;2;No;Sin Plan
BA00098;-36,023579;-59,113034;Bs.As./La Pam;Argentina;Buenos Aires;Las Flores;4;Carga;Sin Plan / Alta Carga
BA00099;-34,510544;-61,532963;Litoral Sur;Argentina;Buenos Aires;Leandro N. Alem;3;No;Sin Plan
BA00100;-34,441587;-61,887208;Bs.As./La Pam;Argentina;Buenos Aires;Leandro N. Alem;3;No;Sin Plan
BA00101;-34,851355;-61,511906;Litoral Sur;Argentina;Buenos Aires;Lincoln;1;Si;Expansiones 2024
BA00103;-35,625039;-61,379341;Bs.As./La Pam;Argentina;Buenos Aires;Carlos Casares;4;No;Sin Plan
BA00104;-36,268275;-63,165653;Bs.As./La Pam;Argentina;Buenos Aires;Pellegrini;4;No;Sin Plan
BA00106;-36,2389;-61,1136;Bs.As./La Pam;Argentina;Buenos Aires;Bolívar;4;No;Sin Plan
BA00107;-38,0108;-57,5503;Bs.As./La Pam;Argentina;Buenos Aires;General Pueyrredón;4;No;Restricciones para Implementar
BA00108;-37,9989;-57,5983;Bs.As./La Pam;Argentina;Buenos Aires;General Pueyrredón;3;Carga;Sin Plan / Alta Carga
BA00109;-35,077595;-58,149273;Bs.As./La Pam;Argentina;Buenos Aires;La Plata;3;No;Sin Plan
BA00110;-35,083535;-57,517286;Bs.As./La Pam;Argentina;Buenos Aires;Magdalena;4;Si;Sectorizaciones 2024
BA00112;-37,473843;-57,720981;Bs.As./La Pam;Argentina;Buenos Aires;Mar Chiquita;3;No;Restricciones para Implementar
BA00113;-37,280923;-57,764094;Bs.As./La Pam;Argentina;Buenos Aires;Mar Chiquita;3;No;Sin Plan
BA00114;-34,777806;-58,847614;Bs.As./La Pam;Argentina;Buenos Aires;Marcos Paz;4;Carga;Sin Plan / Alta Carga
BA00115;-36,768057;-59,095389;Bs.As./La Pam;Argentina;Buenos Aires;Rauch;4;Carga;Sin Plan / Alta Carga
BA00116;-35,418571;-58,822685;Bs.As./La Pam;Argentina;Buenos Aires;Monte;4;No;Restricciones para Implementar
BA00117;-35,701874;-58,892752;Bs.As./La Pam;Argentina;Buenos Aires;General Belgrano;1;No;Restricciones para Implementar
BA00118;-36,862148;-57,884469;Bs.As./La Pam;Argentina;Buenos Aires;Maipú;2;No;Restricciones para Implementar
BA00121;-35,53517;-58,016495;Litoral Sur;Argentina;Buenos Aires;Chascomús;2;No;Sin Plan
BA00123;-36,942039;-60,184382;Bs.As./La Pam;Argentina;Buenos Aires;Olavarría;3;No;Sin Plan
BA00124;-37,991212;-57,574018;Bs.As./La Pam;Argentina;Buenos Aires;General Pueyrredón;4;No;Restricciones para Implementar
BA00126;-36,228573;-62,013274;Bs.As./La Pam;Argentina;Buenos Aires;Pehuajó;4;No;Sin Plan
BA00127;-35,791376;-61,890447;Bs.As./La Pam;Argentina;Buenos Aires;Pehuajó;5;No;Restricciones para Implementar
BA00128;-35,862279;-62,297914;Bs.As./La Pam;Argentina;Buenos Aires;Pehuajó;3;No;Sin Plan
BA00130;-36,297061;-63,192605;Bs.As./La Pam;Argentina;Buenos Aires;Pellegrini;2;No;Sin Plan
BA00131;-33,669488;-60,697669;Litoral Sur;Argentina;Buenos Aires;Pergamino;5;Carga;Sin Plan / Alta Carga
BA00134;-33,865537;-60,576072;Litoral Sur;Argentina;Buenos Aires;Pergamino;4;Carga;Sin Plan / Alta Carga
BA00136;-33,919463;-60,826821;Litoral Sur;Argentina;Buenos Aires;Pergamino;3;No;Sin Plan
BA00137;-36,010189;-58,137713;Litoral Sur;Argentina;Buenos Aires;Pila;4;Carga;Sin Plan / Alta Carga
BA00138;-35,996895;-62,710655;Bs.As./La Pam;Argentina;Buenos Aires;Trenque Lauquen;2;No;Sin Plan
BA00140;-38,163045;-63,242348;Bs.As./La Pam;Argentina;Buenos Aires;Puan;3;No;Sin Plan
BA00142;-33,502021;-60,022792;Litoral Sur;Argentina;Buenos Aires;Ramallo;3;No;Sin Plan
BA00143;-36,781801;-59,080142;Bs.As./La Pam;Argentina;Buenos Aires;Rauch;5;No;Restricciones para Implementar
BA00145;-35,505551;-62,960406;Bs.As./La Pam;Argentina;Buenos Aires;Rivadavia;3;No;Sin Plan
BA00147;-35,391556;-59,341853;Bs.As./La Pam;Argentina;Buenos Aires;Roque Pérez;4;Carga;Sin Plan / Alta Carga
BA00148;-37,640789;-62,437533;Bs.As./La Pam;Argentina;Buenos Aires;Saavedra;3;No;Sin Plan
BA00150;-34,462617;-61,066058;Litoral Sur;Argentina;Buenos Aires;Junín;3;No;Sin Plan
BA00151;-38,155146;-57,968209;Bs.As./La Pam;Argentina;Buenos Aires;General Alvarado;3;No;Sin Plan
BA00152;-36,599085;-61,748358;Bs.As./La Pam;Argentina;Buenos Aires;Daireaux;5;Carga;Sin Plan / Alta Carga
BA00153;-37,676652;-59,784954;Bs.As./La Pam;Argentina;Buenos Aires;Benito Juárez;3;No;Restricciones para Implementar
BA00154;-34,416065;-60,530636;Litoral Sur;Argentina;Buenos Aires;Salto;3;No;Sin Plan
BA00155;-34,432882;-59,459453;Bs.As./La Pam;Argentina;Buenos Aires;San Andrés de Giles;1;No;Restricciones para Implementar
BA00156;-34,262504;-59,401999;Litoral Sur;Argentina;Buenos Aires;San Antonio de Areco;3;No;Sin Plan
BA00158;-33,306051;-60,261376;Litoral Sur;Argentina;Buenos Aires;San Nicolás;4;Si;Expansiones 2024
BA00159;-33,662968;-59,913148;Litoral Sur;Argentina;Buenos Aires;San Pedro;2;No;Sin Plan
BA00160;-33,709131;-59,673296;Litoral Sur;Argentina;Buenos Aires;San Pedro;4;No;Restricciones para Implementar
BA00161;-33,882404;-59,867918;Litoral Sur;Argentina;Buenos Aires;San Pedro;3;Carga;Sin Plan / Alta Carga
BA00162;-35,017421;-58,390735;Litoral Sur;Argentina;Buenos Aires;San Vicente;4;No;Restricciones para Implementar
BA00164;-34,759273;-59,691912;Bs.As./La Pam;Argentina;Buenos Aires;Suipacha;3;Carga;Sin Plan / Alta Carga
BA00165;-38,074854;-57,604642;Bs.As./La Pam;Argentina;Buenos Aires;General Pueyrredón;3;Carga;Sin Plan / Alta Carga
BA00172;-35,967746;-62,713984;Bs.As./La Pam;Argentina;Buenos Aires;Trenque Lauquen;3;No;Sin Plan
BA00173;-38,442985;-60,408627;Bs.As./La Pam;Argentina;Buenos Aires;Tres Arroyos;3;No;Sin Plan
BA00174;-38,722325;-60,549867;Bs.As./La Pam;Argentina;Buenos Aires;Tres Arroyos;3;No;Sin Plan
BA00177;-38,81681;-62,699344;Bs.As./La Pam;Argentina;Buenos Aires;Villarino;2;No;Sin Plan
BA00181;-37,663559;-57,671566;Bs.As./La Pam;Argentina;Buenos Aires;Mar Chiquita;4;Carga;Sin Plan / Alta Carga
BA00182;-35,700674;-63,030556;Bs.As./La Pam;Argentina;Buenos Aires;Rivadavia;3;No;Sin Plan
BA00186;-36,7119;-56,6761;Bs.As./La Pam;Argentina;Buenos Aires;La Costa;2;No;Sin Plan
BA00187;-34,911915;-58,356807;Bs.As./La Pam;Argentina;Buenos Aires;Presidente Perón;4;Carga;Sin Plan / Alta Carga
BA00188;-35,439689;-57,341481;Bs.As./La Pam;Argentina;Buenos Aires;Punta Indio;2;No;Sin Plan
BA00190;-35,440874;-58,808291;Bs.As./La Pam;Argentina;Buenos Aires;Monte;3;No;Sin Plan
BA00193;-38,198069;-57,688021;Bs.As./La Pam;Argentina;Buenos Aires;General Pueyrredón;4;No;Restricciones para Implementar
BA00194;-38,890433;-62,081368;Bs.As./La Pam;Argentina;Buenos Aires;Coronel de Marina Leonardo Rosales;3;Carga;Sin Plan / Alta Carga
BA00195;-35,098383;-60,470659;Bs.As./La Pam;Argentina;Buenos Aires;Bragado;3;No;Sin Plan
BA00197;-34,892493;-60,030092;Bs.As./La Pam;Argentina;Buenos Aires;Chivilcoy;3;No;Sin Plan
BA00198;-34,989311;-59,270049;Litoral Sur;Argentina;Buenos Aires;Navarro;5;No;Restricciones para Implementar
BA00199;-39,517535;-62,678815;Bs.As./La Pam;Argentina;Buenos Aires;Villarino;4;Carga;Sin Plan / Alta Carga
BA00201;-38,718414;-62,268001;Bs.As./La Pam;Argentina;Buenos Aires;Bahía Blanca;3;Carga;Sin Plan / Alta Carga
BA00202;-37,994034;-57,551801;Bs.As./La Pam;Argentina;Buenos Aires;General Pueyrredón;4;Si;5G - Fase 1 (432)
BA00203;-33,349506;-60,202871;Litoral Sur;Argentina;Buenos Aires;San Nicolás;4;Carga;Sin Plan / Alta Carga
BA00204;-38,717222;-61,292177;Bs.As./La Pam;Argentina;Buenos Aires;Coronel Dorrego;4;No;Sin Plan
BA00205;-36,900205;-60,314018;Bs.As./La Pam;Argentina;Buenos Aires;Olavarría;4;Si;Sectorizaciones 2024
BA00206;-36,780936;-59,871246;Bs.As./La Pam;Argentina;Buenos Aires;Azul;5;Carga;Sin Plan / Alta Carga
BA00207;-38,385929;-60,287917;Bs.As./La Pam;Argentina;Buenos Aires;Tres Arroyos;4;Carga;Sin Plan / Alta Carga
BA00210;-35,774169;-58,516251;Litoral Sur;Argentina;Buenos Aires;General Belgrano;4;Carga;Sin Plan / Alta Carga
BA00211;-37,859293;-58,249177;Bs.As./La Pam;Argentina;Buenos Aires;Balcarce;5;No;Restricciones para Implementar
BA00212;-37,626059;-58,620424;Bs.As./La Pam;Argentina;Buenos Aires;Balcarce;2;No;Sin Plan
BA00213;-38,083667;-57,552589;Bs.As./La Pam;Argentina;Buenos Aires;General Pueyrredón;4;No;Restricciones para Implementar
BA00214;-35,180567;-58,230239;Bs.As./La Pam;Argentina;Buenos Aires;Brandsen;3;Si;Expansiones 2024
BA00215;-37,685357;-63,169958;Bs.As./La Pam;Argentina;Buenos Aires;Puan;4;No;Sin Plan
BA00216;-35,140242;-61,978157;Litoral Sur;Argentina;Buenos Aires;Lincoln;3;No;Restricciones para Implementar
BA00217;-35,392679;-62,431721;Litoral Sur;Argentina;Buenos Aires;Carlos Tejedor;3;Carga;Sin Plan / Alta Carga
BA00219;-36,583997;-56,699499;Bs.As./La Pam;Argentina;Buenos Aires;La Costa;4;Carga;Sin Plan / Alta Carga
BA00222;-37,253816;-61,239299;Bs.As./La Pam;Argentina;Buenos Aires;General La Madrid;3;No;Sin Plan
BA00224;-36,239187;-61,133042;Bs.As./La Pam;Argentina;Buenos Aires;Bolívar;4;No;Sin Plan
BA00227;-37,558881;-60,819715;Bs.As./La Pam;Argentina;Buenos Aires;Laprida;5;No;Sin Plan
BA00228;-34,304417;-61,314222;Bs.As./La Pam;Argentina;Buenos Aires;General Arenales;4;No;Restricciones para Implementar
BA00229;-37,326315;-59,134606;Bs.As./La Pam;Argentina;Buenos Aires;Tandil;4;Carga;Sin Plan / Alta Carga
BA00230;-38,552539;-58,743065;Bs.As./La Pam;Argentina;Buenos Aires;Necochea;4;Si;Expansiones 2024
BA00232;-37,825387;-57,507499;Bs.As./La Pam;Argentina;Buenos Aires;Mar Chiquita;4;Carga;Sin Plan / Alta Carga
BA00233;-38,000933;-57,547589;Bs.As./La Pam;Argentina;Buenos Aires;General Pueyrredón;4;No;Restricciones para Implementar
BA00234;-38,016497;-57,581809;Bs.As./La Pam;Argentina;Buenos Aires;General Pueyrredón;4;No;Restricciones para Implementar
BA00237;-37,111391;-56,866389;Bs.As./La Pam;Argentina;Buenos Aires;Pinamar;4;No;Restricciones para Implementar
BA00238;-37,325941;-59,175618;Bs.As./La Pam;Argentina;Buenos Aires;Tandil;3;No;Sin Plan
BA00240;-38,724137;-62,226004;Bs.As./La Pam;Argentina;Buenos Aires;Bahía Blanca;4;Si;5G - 45
BA00241;-38,278788;-59,189098;Bs.As./La Pam;Argentina;Buenos Aires;Necochea;1;No;Restricciones para Implementar
BA00242;-38,011777;-59,261413;Bs.As./La Pam;Argentina;Buenos Aires;Necochea;4;No;Restricciones para Implementar
BA00243;-37,296676;-59,138271;Bs.As./La Pam;Argentina;Buenos Aires;Tandil;4;Carga;Sin Plan / Alta Carga
BA00245;-38,153145;-58,768981;Bs.As./La Pam;Argentina;Buenos Aires;Lobería;4;No;Sin Plan
BA00246;-37,144593;-58,496367;Bs.As./La Pam;Argentina;Buenos Aires;Ayacucho;3;Carga;Sin Plan / Alta Carga
BA00247;-38,012664;-57,600635;Bs.As./La Pam;Argentina;Buenos Aires;General Pueyrredón;2;No;Sin Plan
BA00248;-33,897469;-60,574315;Litoral Sur;Argentina;Buenos Aires;Pergamino;3;Carga;Sin Plan / Alta Carga
BA00250;-38,852496;-60,075092;Bs.As./La Pam;Argentina;Buenos Aires;Tres Arroyos;5;No;Restricciones para Implementar
BA00251;-36,612003;-61,739466;Bs.As./La Pam;Argentina;Buenos Aires;Daireaux;3;No;Sin Plan
BA00252;-35,5504;-63,3753;Bs.As./La Pam;Argentina;Buenos Aires;Rivadavia;3;No;Sin Plan
BA00254;-35,274864;-59,759029;Bs.As./La Pam;Argentina;Buenos Aires;Veinticinco de Mayo;2;No;Sin Plan
BA00256;-34,883707;-58,384755;Litoral Sur;Argentina;Buenos Aires;Glew;5;Carga;Sin Plan / Alta Carga
BA00257;-36,306883;-57,676582;Bs.As./La Pam;Argentina;Buenos Aires;Dolores;3;Carga;Sin Plan / Alta Carga
BA00258;-37,965788;-57,576922;Bs.As./La Pam;Argentina;Buenos Aires;General Pueyrredón;3;No;Sin Plan
BA00260;-36,465867;-62,853537;Bs.As./La Pam;Argentina;Buenos Aires;Tres Lomas;4;No;Sin Plan
BA00261;-38,578764;-58,729146;Bs.As./La Pam;Argentina;Buenos Aires;Necochea;4;No;Restricciones para Implementar
BA00263;-38,041948;-57,547159;Bs.As./La Pam;Argentina;Buenos Aires;General Pueyrredón;4;Carga;Sin Plan / Alta Carga
BA00265;-38,140545;-61,79592;Bs.As./La Pam;Argentina;Buenos Aires;Tornquist;1;No;Restricciones para Implementar
BA00266;-37,168485;-56,904059;Bs.As./La Pam;Argentina;Buenos Aires;Pinamar;3;No;Restricciones para Implementar
BA00267;-37,264494;-56,986719;Bs.As./La Pam;Argentina;Buenos Aires;Villa Gesell;4;Carga;Sin Plan / Alta Carga
BA00268;-35,042228;-60,289606;Litoral Sur;Argentina;Buenos Aires;Alberti;4;No;Sin Plan
BA00270;-34,935298;-58,617514;Bs.As./La Pam;Argentina;Buenos Aires;Cañuelas;4;Carga;Sin Plan / Alta Carga
BA00272;-38,103034;-57,840004;Bs.As./La Pam;Argentina;Buenos Aires;General Alvarado;3;Carga;Sin Plan / Alta Carga
BA00275;-37,187054;-62,757701;Bs.As./La Pam;Argentina;Buenos Aires;Adolfo Alsina;4;No;Sin Plan
BA00276;-38,028657;-60,099321;Bs.As./La Pam;Argentina;Buenos Aires;Adolfo Gonzales Chaves;2;No;Restricciones para Implementar
BA00277;-37,083821;-57,834112;Bs.As./La Pam;Argentina;Buenos Aires;Maipú;1;No;Sin Plan
BA00278;-38,70892;-62,233474;Bs.As./La Pam;Argentina;Buenos Aires;Bahía Blanca;3;Carga;Sin Plan / Alta Carga
BA00279;-38,694805;-62,275288;Bs.As./La Pam;Argentina;Buenos Aires;Bahía Blanca;3;No;Sin Plan
BA00283;-37,834414;-58,192283;Bs.As./La Pam;Argentina;Buenos Aires;Balcarce;4;No;Sin Plan
BA00285;-33,89845;-60,538609;Litoral Sur;Argentina;Buenos Aires;Pergamino;4;No;Restricciones para Implementar
BA00288;-37,99245;-57,60741;Bs.As./La Pam;Argentina;Buenos Aires;General Pueyrredón;3;Carga;Sin Plan / Alta Carga
BA00291;-34,240389;-61,083927;Litoral Sur;Argentina;Buenos Aires;General Arenales;3;No;Sin Plan
BA00293;-34,250874;-59,475842;Bs.As./La Pam;Argentina;Buenos Aires;San Antonio de Areco;3;Carga;Sin Plan / Alta Carga
BA00294;-38,036015;-57,567061;Bs.As./La Pam;Argentina;Buenos Aires;General Pueyrredón;2;No;Sin Plan
BA00297;-38,035833;-57,592567;Bs.As./La Pam;Argentina;Buenos Aires;General Pueyrredón;3;No;Sin Plan
BA00298;-37,9804;-57,57805;Bs.As./La Pam;Argentina;Buenos Aires;General Pueyrredón;2;No;Sin Plan
BA00300;-38,556438;-58,738355;Bs.As./La Pam;Argentina;Buenos Aires;Necochea;4;No;Restricciones para Implementar
BA00301;-38,014201;-57,706639;Bs.As./La Pam;Argentina;Buenos Aires;General Pueyrredón;4;Carga;Sin Plan / Alta Carga
BA00302;-36,999252;-57,137247;Bs.As./La Pam;Argentina;Buenos Aires;General Madariaga;4;Carga;Sin Plan / Alta Carga
BA00304;-38,008327;-57,750361;Bs.As./La Pam;Argentina;Buenos Aires;General Pueyrredón;3;No;Sin Plan
BA00306;-35,553974;-58,011894;Bs.As./La Pam;Argentina;Buenos Aires;Chascomús;2;Carga;Sin Plan / Alta Carga
BA00307;-36,7697;-59,86369;Bs.As./La Pam;Argentina;Buenos Aires;Azul;5;No;Restricciones para Implementar
BA00308;-37,966031;-57,553603;Bs.As./La Pam;Argentina;Buenos Aires;General Pueyrredón;4;Si;Expansiones 2024
BA00309;-37,998635;-57,549578;Bs.As./La Pam;Argentina;Buenos Aires;General Pueyrredón;3;No;Sin Plan
BA00310;-37,985132;-57,585357;Bs.As./La Pam;Argentina;Buenos Aires;General Pueyrredón;3;No;Sin Plan
BA00311;-37,997582;-57,561331;Bs.As./La Pam;Argentina;Buenos Aires;General Pueyrredón;4;Si;5G - 45
BA00312;-38,025831;-57,561701;Bs.As./La Pam;Argentina;Buenos Aires;General Pueyrredón;3;No;Sin Plan
BA00315;-38,003104;-57,554383;Bs.As./La Pam;Argentina;Buenos Aires;General Pueyrredón;4;Si;5G - Fase 1 (432)
BA00316;-38,013708;-57,555889;Bs.As./La Pam;Argentina;Buenos Aires;General Pueyrredón;4;Si;5G - Fase 1 (432)
BA00317;-34,86759;-61,520752;Litoral Sur;Argentina;Buenos Aires;Lincoln;3;Carga;Sin Plan / Alta Carga
BA00318;-37,997276;-57,578964;Bs.As./La Pam;Argentina;Buenos Aires;General Pueyrredón;4;No;Restricciones para Implementar
BA00319;-38,013788;-57,566665;Bs.As./La Pam;Argentina;Buenos Aires;General Pueyrredón;4;Si;5G - Fase 1 (432)
BA00320;-37,986431;-57,559402;Bs.As./La Pam;Argentina;Buenos Aires;General Pueyrredón;3;Carga;Sin Plan / Alta Carga
BA00322;-37,8556;-58,2678;Bs.As./La Pam;Argentina;Buenos Aires;Balcarce;4;No;Sin Plan
BA00323;-34,918898;-58,373605;Litoral Sur;Argentina;Buenos Aires;Presidente Perón;3;No;Sin Plan
BA00328;-40,781586;-62,992211;Bs.As./La Pam;Argentina;Buenos Aires;Patagones;4;No;Sin Plan
BA00330;-34,585342;-60,955112;Litoral Sur;Argentina;Buenos Aires;Junín;4;Carga;Sin Plan / Alta Carga
BA00331;-38,437327;-58,486682;Bs.As./La Pam;Argentina;Buenos Aires;Lobería;2;No;Sin Plan
BA00333;-35,647617;-59,767685;Bs.As./La Pam;Argentina;Buenos Aires;Saladillo;3;No;Sin Plan
BA00337;-37,065327;-61,937167;Bs.As./La Pam;Argentina;Buenos Aires;Coronel Suárez;3;No;Sin Plan
BA00338;-38,007736;-57,545591;Bs.As./La Pam;Argentina;Buenos Aires;General Pueyrredón;1;Carga;Sin Plan / Alta Carga
BA00339;-38,017259;-57,531313;Bs.As./La Pam;Argentina;Buenos Aires;General Pueyrredón;3;No;Sin Plan
BA00340;-38,009957;-57,538019;Bs.As./La Pam;Argentina;Buenos Aires;General Pueyrredón;4;Carga;Sin Plan / Alta Carga
BA00341;-36,961475;-60,262501;Bs.As./La Pam;Argentina;Buenos Aires;Olavarría;4;No;Sin Plan
BA00344;-38,003072;-57,606051;Bs.As./La Pam;Argentina;Buenos Aires;General Pueyrredón;4;Carga;Sin Plan / Alta Carga
BA00346;-36,358412;-56,716909;Bs.As./La Pam;Argentina;Buenos Aires;La Costa;5;Carga;Sin Plan / Alta Carga
BA00347;-33,680639;-59,665108;Litoral Sur;Argentina;Buenos Aires;San Pedro;5;Si;Expansiones 2024
BA00349;-36,872486;-57,889201;Bs.As./La Pam;Argentina;Buenos Aires;Maipú;3;No;Sin Plan
BA00350;-34,984365;-61,770111;Bs.As./La Pam;Argentina;Buenos Aires;Lincoln;3;No;Sin Plan
BA00351;-38,722189;-62,288954;Bs.As./La Pam;Argentina;Buenos Aires;Bahía Blanca;2;Si;Expansiones 2024
BA00352;-38,996678;-61,557608;Bs.As./La Pam;Argentina;Buenos Aires;Coronel de Marina Leonardo Rosales;3;No;Sin Plan
BA00353;-34,371003;-60,759036;Litoral Sur;Argentina;Buenos Aires;Rojas;2;No;Sin Plan
BA00354;-34,747093;-60,975521;Litoral Sur;Argentina;Buenos Aires;Junín;2;No;Sin Plan
BA00355;-35,084279;-61,511867;Bs.As./La Pam;Argentina;Buenos Aires;Lincoln;4;No;Sin Plan
BA00358;-37,773444;-62,353271;Bs.As./La Pam;Argentina;Buenos Aires;Saavedra;4;No;Restricciones para Implementar
BA00359;-39,25782;-62,601482;Bs.As./La Pam;Argentina;Buenos Aires;Villarino;4;No;Sin Plan
BA00360;-37,36066;-62,44399;Bs.As./La Pam;Argentina;Buenos Aires;Adolfo Alsina;3;No;Sin Plan
BA00361;-40,183969;-62,633134;Bs.As./La Pam;Argentina;Buenos Aires;Patagones;4;No;Sin Plan
